Age group?,Gender?,Occupation,Monthly household income?,How comfortable are you in adopting new technologies?,"How do you typically plan your day for activities like commuting, vehicle charging, and other tasks?",How far do you typically travel in a single trip on your bike?,How do you primarily envision using a bike in your daily life?,What type of vehicle do you currently own or primarily use?,How Satisfied are you with your current vehicle's performance?,What do you like most about your current vehicle? (Select up to 3),How often do you use your vehicle?,"On average, how much do you spend on fuel/charging per month?",How much do you spend on maintenance/repairs for your vehicle annually?,Would you consider replacing your current vehicle in the next 1-2 years?,"If yes, what factors would influence your decision to replace your vehicle? (Select all that apply)",How familiar are you with EV bikes? ,Have you ever considered purchasing or using an EV bike?,Where do you primarily get your information about EV bikes? (Select all that apply),Which of the following best describes your experience with electric bikes?,"If you have an Electric Bike, what brand and model of bike do you own? (Optional)",How important are following features in an EV bike to you? [Battery life/range],How important are following features in an EV bike to you? [Charging time],"How important are following features in an EV bike to you? [Safety features (e.g., ABS, traction control)]",How important are following features in an EV bike to you? [Price],How important are following features in an EV bike to you? [Design and aesthetics],"How important are following features in an EV bike to you? [Connectivity features (e.g., smart dashboard, app integration)]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Long range and fewer charges]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Durability]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Smooth and quiet ride]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [High performance (e.g., speed, acceleration)]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Comfort]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Maintenance cost]","When thinking about your ideal experience with an EV bike, how important are the following factors for you? [Brand]",What are two words that comes to mind when you think of EV bikes in general?,What are two words that comes to mind when you think of HONDA in general?,What are two words that comes to mind when you think of Yamaha in general?,What is two word that comes to mind when you think of Suzuki in general?
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,3,3,Online news articles;Social media;TV/Radio;Friends/Family,5,Okla,4,2,2,2,2,2,4,3,3,2,2,2,2,"Quiet, Sleek","Reliable, Underpowered","Comfortable, Performance-oriented","Dependable, Trustworthy"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,3,4,Online news articles;Social media;TV/Radio;Friends/Family,5,Okla,4,2,2,2,2,2,4,3,3,2,2,2,2,"Quiet, Efficient","Dependable, Comfortable","Fuel-efficient, Comfortable","Plain, Reliable"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,4,5,Online news articles;Social media;TV/Radio;Friends/Family,5,Metro,4,2,2,2,2,2,4,3,3,2,2,2,2,"Efficient, Durable","Underpowered, Dependable","Robust, Conservative","Performance-oriented, Trustworthy"
0,0,2,3,5,2,1,Commuting to work or school,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact;After Sale Service;Resale Value",1,2,1,3,Newer technology,4,3,Online news articles;Social media;TV/Radio;Friends/Family;Auto or bike dealerships,5,Jaguar,5,5,5,5,5,5,5,5,5,5,5,5,5,"Cost-effective, Futuristic","Robust, Comfortable","Performance-oriented, Underpowered","Innovative, Comfortable"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,5,3,Online news articles;Social media;TV/Radio;Friends/Family,5,Evee,4,2,2,2,2,2,4,3,3,2,2,2,2,"Quiet, Futuristic","Fuel-efficient, Practical","Comfortable, Trustworthy","Trustworthy, Plain"
2,1,3,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,3,Fuel efficiency;Maintenance cost;Comfort and design,1,2,3,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",3,5,Social media,5,Metro,3,3,3,3,3,3,3,3,3,3,3,3,3,"High-tech, Futuristic","Comfortable, Fuel-efficient","Practical, Fuel-efficient","Plain, Comfortable"
1,0,1,3,5,2,3,Commuting to work or school;Leisure and entertainment;Running errands around town,2,3,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;After Sale Service;Resale Value",1,1,1,1,Better performance;Environmental benefits,3,5,Online news articles;Social media;Friends/Family;Auto or bike dealerships,5,Jaguar,5,5,1,5,5,5,5,5,5,5,5,5,5,"Quiet, Lightweight","Robust, Conservative","Robust, Reliable","Innovative, Trustworthy"
2,0,3,3,4,2,1,Leisure and entertainment;Family transportation;Running errands around town,1,4,"Fuel efficiency;Performance (acceleration, handling, etc.);Brand reputation",1,2,3,3,Lower running costs;Better performance;Newer technology;Brand reputation;Environmental benefits,4,5,Online news articles;Social media;Government advertisements/incentives,5,Okla,4,4,4,3,4,3,4,3,4,3,4,3,4,"Rechargeable, Sleek","Underpowered, Innovative","Underpowered, Practical","Innovative, Conservative"
2,0,3,3,4,2,1,Leisure and entertainment;Family transportation;Running errands around town,1,4,"Fuel efficiency;Performance (acceleration, handling, etc.);Brand reputation",1,2,3,3,Lower running costs;Better performance;Newer technology;Brand reputation;Environmental benefits,4,4,Online news articles;Social media;Government advertisements/incentives,5,Okla,4,4,4,3,4,3,4,3,4,3,4,3,4,"Smooth, Lightweight","Innovative, Trustworthy","Robust, Reliable","Innovative, Reliable"
2,0,3,3,4,2,1,Leisure and entertainment;Family transportation;Running errands around town,1,4,"Fuel efficiency;Performance (acceleration, handling, etc.);Brand reputation",1,2,3,3,Lower running costs;Better performance;Newer technology;Brand reputation;Environmental benefits,5,5,Online news articles;Social media;Government advertisements/incentives,5,Okla,4,4,4,3,4,3,4,3,4,3,4,3,4,"Zero-emission, Efficient","Innovative, Robust","Comfortable, Plain","Reliable, Trustworthy"
2,1,3,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,3,Fuel efficiency;Maintenance cost;Comfort and design,1,2,3,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",5,5,Social media,5,Metro,3,3,3,3,3,3,3,3,3,3,3,3,3,"Zero-emission, High-tech","Comfortable, Trustworthy","Conservative, Comfortable","Performance-oriented, Underpowered"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,4,3,Online news articles;Social media;TV/Radio;Friends/Family,5,Jaguar,4,2,2,2,2,2,4,3,3,2,2,2,2,"Durable, Emission-free","Plain, Innovative","Underpowered, Innovative","Practical, Performance-oriented"
2,1,3,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,3,Fuel efficiency;Maintenance cost;Comfort and design,1,2,3,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",4,4,Social media,5,Metro,3,3,3,3,3,3,3,3,3,3,3,3,3,"Futuristic, High-tech","Underpowered, Trustworthy","Reliable, Trustworthy","Innovative, Underpowered"
0,0,2,3,5,2,1,Commuting to work or school,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact;After Sale Service;Resale Value",1,2,1,3,Newer technology,1,2,Online news articles;Social media;TV/Radio;Friends/Family;Auto or bike dealerships,2,,5,5,5,5,5,5,5,5,5,5,5,5,5,"Quiet, Electric-powered","Performance-oriented, Trustworthy","Performance-oriented, Plain","Trustworthy, Conservative"
2,0,3,3,4,2,1,Leisure and entertainment;Family transportation;Running errands around town,1,4,"Fuel efficiency;Performance (acceleration, handling, etc.);Brand reputation",1,2,3,3,Lower running costs;Better performance;Newer technology;Brand reputation;Environmental benefits,2,5,Online news articles;Social media;Government advertisements/incentives,1,,4,4,4,3,4,3,4,3,4,3,4,3,4,"Smooth, Rechargeable","Comfortable, Reliable","Underpowered, Performance-oriented","Fuel-efficient, Dependable"
0,0,2,3,5,2,1,Commuting to work or school,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact;After Sale Service;Resale Value",1,2,1,3,Newer technology,1,2,Online news articles;Social media;TV/Radio;Friends/Family;Auto or bike dealerships,2,,5,5,5,5,5,5,5,5,5,5,5,5,5,"Smooth, Rechargeable","Underpowered, Reliable","Dependable, Fuel-efficient","Fuel-efficient, Robust"
0,0,2,3,5,2,1,Commuting to work or school,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact;After Sale Service;Resale Value",1,2,1,3,Newer technology,1,2,Online news articles;Social media;TV/Radio;Friends/Family;Auto or bike dealerships,1,,5,5,5,5,5,5,5,5,5,5,5,5,5,"Electric-powered, Quiet","Fuel-efficient, Dependable","Reliable, Old","Fuel-efficient, Unreliable"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,1,1,Online news articles;Social media;TV/Radio;Friends/Family,6,,4,2,2,2,2,2,4,3,3,2,2,2,2,"Futuristic, Rechargeable","Practical, Good","Practical, Comfortable","Comfortable, Fuel-efficient"
2,0,3,3,4,2,1,Leisure and entertainment;Family transportation;Running errands around town,1,4,"Fuel efficiency;Performance (acceleration, handling, etc.);Brand reputation",1,2,3,3,Lower running costs;Better performance;Newer technology;Brand reputation;Environmental benefits,2,5,Online news articles;Social media;Government advertisements/incentives,2,,4,4,4,3,4,3,4,3,4,3,4,3,4,"Quiet, Smooth","Robust, Underpowered","Innovative, Robust","Practical, Uncomfortable"
2,1,3,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,3,Fuel efficiency;Maintenance cost;Comfort and design,1,2,3,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",1,5,Social media,6,,3,3,3,3,3,3,3,3,3,3,3,3,3,"Zero-emission, High-tech","Plain, Performance-oriented","Robust, Uncomfortable","Reliable, Plain"
1,0,1,3,5,2,3,Commuting to work or school;Leisure and entertainment;Running errands around town,2,3,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;After Sale Service;Resale Value",1,1,1,1,Better performance;Environmental benefits,1,5,Online news articles;Social media;Friends/Family;Auto or bike dealerships,1,,5,5,1,5,5,5,5,5,5,5,5,5,5,"Emission-free, Cost-effective","Dependable, Trustworthy","Underpowered, Robust","Underpowered, Practical"
2,1,3,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,3,Fuel efficiency;Maintenance cost;Comfort and design,1,2,3,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",1,5,Social media,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,"High-tech, Emission-free","Trustworthy, Performance-oriented","Conservative, Practical","Robust, Performance-oriented"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,1,1,Online news articles;Social media;TV/Radio;Friends/Family,3,,4,2,2,2,2,2,4,3,3,2,2,2,2,"Emission-free, Lightweight","Practical, Fuel-efficient","Practical, Comfortable","Comfortable, Plain"
2,1,3,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,3,Fuel efficiency;Maintenance cost;Comfort and design,1,2,3,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",1,5,Social media,1,,3,3,3,3,3,3,3,3,3,3,3,3,3,"Futuristic, Electric-powered","Fuel-efficient, Practical","Conservative, Reliable","Practical, Reliable"
2,1,3,3,5,1,1,Commuting to work or school;Leisure and entertainment;Family transportation;Running errands around town;Long-distance travel,1,3,Fuel efficiency;Maintenance cost;Comfort and design,1,2,3,3,"Better performance;Newer technology;Brand reputation;Incentives (rebates, subsidies, etc.)",1,5,Social media,2,,3,3,3,3,3,3,3,3,3,3,3,3,3,"Emission-free, Electric-powered","Reliable, Trustworthy","Practical, Conservative","Performance-oriented, Comfortable"
2,0,3,3,4,2,1,Leisure and entertainment;Family transportation;Running errands around town,1,4,"Fuel efficiency;Performance (acceleration, handling, etc.);Brand reputation",1,2,3,3,Lower running costs;Better performance;Newer technology;Brand reputation;Environmental benefits,2,5,Online news articles;Social media;Government advertisements/incentives,2,,4,4,4,3,4,3,4,3,4,3,4,3,4,"Electric-powered, Lightweight","Normal, Comfortable","Performance-oriented, Conservative","Practical, Robust"
1,0,1,3,5,2,3,Commuting to work or school;Leisure and entertainment;Running errands around town,2,3,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;After Sale Service;Resale Value",1,1,1,1,Better performance;Environmental benefits,1,5,Online news articles;Social media;Friends/Family;Auto or bike dealerships,2,,5,5,1,5,5,5,5,5,5,5,5,5,5,"Quiet, High-tech","Innovative, Reliable","Plain, Reliable","Reliable, Plain"
2,1,2,1,3,1,1,Commuting to work or school;Leisure and entertainment,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation",4,2,2,2,Lower running costs;Better performance,1,1,Online news articles;Social media;TV/Radio;Friends/Family,2,,4,2,2,2,2,2,4,3,3,2,2,2,2,"Cost-effective, Smooth","Trustworthy, Fuel-efficient","Performance-oriented, Dependable","Underpowered, Trustworthy"
0,0,2,3,5,2,1,Commuting to work or school,1,1,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;Brand reputation;Environmental impact;After Sale Service;Resale Value",1,2,1,3,Newer technology,1,2,Online news articles;Social media;TV/Radio;Friends/Family;Auto or bike dealerships,3,,5,5,5,5,5,5,5,5,5,5,5,5,5,"Sleek, Futuristic","Trustworthy, Plain","Underpowered, Robust","Conservative, Fuel-efficient"
1,0,1,3,5,2,3,Commuting to work or school;Leisure and entertainment;Running errands around town,2,3,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;After Sale Service;Resale Value",1,1,1,1,Better performance;Environmental benefits,1,5,Online news articles;Social media;Friends/Family;Auto or bike dealerships,1,,5,5,1,5,5,5,5,5,5,5,5,5,5,"Rechargeable, High-tech","Plain, Reliable","Robust, Fuel-efficient","Robust, Performance-oriented"
1,0,1,3,5,2,3,Commuting to work or school;Leisure and entertainment;Running errands around town,2,3,"Fuel efficiency;Performance (acceleration, handling, etc.);Maintenance cost;Comfort and design;Reliability;After Sale Service;Resale Value",1,1,1,1,Better performance;Environmental benefits,1,5,Online news articles;Social media;Friends/Family;Auto or bike dealerships,3,,5,5,1,5,5,5,5,5,5,5,5,5,5,"Lightweight, Zero-emission","Comfortable, Plain","Plain, Underpowered","Conservative, Performance-oriented"
